,zaehlstelllen_seite1,zaehlstelllen_seite2,corr_Wochentag,n1 zaehlstelllen_seite1,n2 zaehlstelllen_seite2,Summe
0,FFB1_Ost,csv,0.9187831139787993,8040,10052,18092
1,FFB12_OTCamera09,csv,,1993,0,1993
2,FFB14_Nord,csv,0.8603763992915863,2360,4590,6950
3,FFB3_OTCamera17,csv,0.1832997216870724,2606,37,2643
4,GI11_Nordwest,csv,0.9524184979676124,18083,14191,32274
5,GI2_Nordwest,csv,0.8827974837597423,9066,12878,21944
6,GI3_Nord,csv,0.9069656976459587,8973,28620,37593
7,KA1_Ost,csv,0.9582174518486285,11660,30148,41808
8,KA3_Nord,csv,0.05652072521772373,743,718,1461
9,KA4_Nordwest,csv,0.6283295112246646,563,974,1537
10,KA6_Ost,csv,0.9088086152120634,14936,20978,35914
11,KA9_Nord,csv,0.9760886678595512,12397,13250,25647
12,M11_Nord,csv,0.6540013431217929,277,9829,10106
13,M14_Nord,csv,0.6834461293008942,30256,34381,64637
14,M4_Nord,csv,0.3744709448661024,4805,2107,6912
15,M6_Nord,csv,0.5698458706072127,2146,11032,13178
