Key;value;Gruppe;Klasse;Einflussbereich;Bedeutung
amenity;bar;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;biergarten;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;cafe;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;fast_food;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;food_court;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;ice_cream;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;pub;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;restaurant;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;library;Oeffentliche Gebaeude;Bibliotheken & Post;300;6
amenity;archive;Oeffentliche Gebaeude;Oeffentliche Verwaltung & Buergeraemter;300;6
amenity;college;Bildungseinrichtungen;Hochschulen;400;7
amenity;kindergarten;Bildungseinrichtungen;Kindergaerten;200;7
amenity;school;Bildungseinrichtungen;weiterfuehrende Schulen;200;7
amenity;music_school;Bildungseinrichtungen;weiterfuehrende Schulen;200;7
amenity;university;Bildungseinrichtungen;Hochschulen;400;7
amenity;bicycle_rental;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;boat_rental;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;car_rental;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;bank;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;bureau_de_change;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;baby_hatch;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;clinic;Gesundheit;Praxen, Gesundheitsbedarf, Sozialeinrichtungen;300;3
amenity;dentist;Gesundheit;Praxen, Gesundheitsbedarf, Sozialeinrichtungen;300;3
amenity;doctors;Gesundheit;Praxen, Gesundheitsbedarf, Sozialeinrichtungen;300;3
amenity;hospital;Gesundheit;Krankenhaeuser;500;20
amenity;nursing_home;Wohnen;Altenpflegeheime;500;7
amenity;pharmacy;Gesundheit;Praxen, Gesundheitsbedarf, Sozialeinrichtungen;300;3
amenity;social_facility;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;verinary;Gesundheit;Praxen, Gesundheitsbedarf, Sozialeinrichtungen;300;3
amenity;blood_donation;Gesundheit;Praxen, Gesundheitsbedarf, Sozialeinrichtungen;300;3
amenity;arts_centre;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
amenity;casino;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;cinema;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
amenity;community_centre;Gesundheit;Praxen, Gesundheitsbedarf, Sozialeinrichtungen;300;3
amenity;gambling;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;planetarium;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
amenity;social_centre;Oeffentliche Gebaeude;Oeffentliche Verwaltung & Buergeraemter;300;6
amenity;stripclub;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;theatre;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
amenity;courthouse;Oeffentliche Gebaeude;Oeffentliche Verwaltung & Buergeraemter;300;6
amenity;animal_shelter;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;coworking_space;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;embassy;Oeffentliche Gebaeude;Oeffentliche Verwaltung & Buergeraemter;300;6
amenity;gym;Versammlungsstaetten, Sport- & Freizeit;Sportanlagen;200;2
amenity;internet_cafe;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;marketplace;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;place_of_worship;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
amenity;police;Oeffentliche Gebaeude;Polizei & Justiz;300;3
amenity;post_office;Oeffentliche Gebaeude;Bibliotheken & Post;300;6
amenity;public_building;Oeffentliche Gebaeude;Oeffentliche Verwaltung & Buergeraemter;300;6
amenity;townhall;Oeffentliche Gebaeude;Oeffentliche Verwaltung & Buergeraemter;300;6
amenity;hotel;Versammlungsstaetten, Sport- & Freizeit;Hotels, Pensionen;300;3
amenity;retail;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;kiosk;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;social_facility;Oeffentliche Gebaeude;Oeffentliche Verwaltung & Buergeraemter;300;6
amenity;veterinary;Gesundheit;Praxen, Gesundheitsbedarf, Sozialeinrichtungen;300;3
amenity;bureau_de_change;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;driving_school;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;language_school;Bildungseinrichtungen;weiterfuehrende Schulen;200;7
amenity;ice_cream;Dienstleistung, Einzelhandel, Gastronomie;Gastronomie;300;2
amenity;dojo;Versammlungsstaetten, Sport- & Freizeit;Sportanlagen;200;2
amenity;dive_centre;Versammlungsstaetten, Sport- & Freizeit;Sportanlagen;200;2
amenity;stadium;Versammlungsstaetten, Sport- & Freizeit;Sportanlagen;200;2
amenity;casino;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
amenity;gambling;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
building;religious;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
building;cathedral;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
building;chapel;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
building;church;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
building;mosque;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
building;temple;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
building;synagogue;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
building;shrine;Versammlungsstaetten, Sport- & Freizeit;Museen, Gebaeude mit ueberoertlicher Bedeutung;200;6
building;bakehouse;Versammlungsstaetten, Sport- & Freizeit;Geschaefte;200;1
building;kindergarten;Bildungseinrichtungen;Kindergaerten;200;7
building;hospital;Gesundheit;Krankenhaeuser;500;20
building;school;Bildungseinrichtungen;weiterfuehrende Schulen;200;7
building;stadium;Versammlungsstaetten, Sport- & Freizeit;Sportanlagen;200;2
building;train_station;Haltestellen des OPNV;SPNV-Haltestelle;500;20
building;university;Bildungseinrichtungen;Hochschulen;400;7
building;public;Oeffentliche Gebaeude;Oeffentliche Verwaltung & Buergeraemter;300;6
building;commercial;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
building;retail;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
building;mall;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
building;college;Bildungseinrichtungen;Hochschulen;400;7
building;language_school;Bildungseinrichtungen;weiterfuehrende Schulen;200;7
building;riding_hall;Versammlungsstaetten, Sport- & Freizeit;Sportanlagen;200;2
craft;agricultural_engines;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;atelier;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;bakery;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;basket_maker;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;beekeeper;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;blacksmith;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;boatbuilder;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;bookbinder;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;brewery;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;builder;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;cabinet_maker;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;car_painter;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;carpenter;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;carpet_layer;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;caterer;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;chimney_sweeper;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;cleaning;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;clockmaker;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;confectionery;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;cooper;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;dental_technician;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;distillery;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;door_construction;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;dressmaker;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;electronics_repair;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;embroiderer;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;electrician;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;engraver;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;floorer;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;fruit_press;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;gardener;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;glaziery;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
craft;goldsmith;Dienstleistung, Einzelhandel, Gastronomie;Geschaefte;200;1
