city,date,average_temperature,average_humidity,average_precipitation
Fürstenfeldbruck,2023-10-14,"15,670249","67,75","0,31249997"
Heidelberg,2024-03-20,"12,36275","72,125","0,0"
Ratingen,2023-09-13,"17,876999","85,708336","0,05"
Chemnitz,2023-09-19,"17,716583","64,5","0,0"
Gießen,2023-09-07,"19,814249","73,333336","0,0"
Halle,2023-09-20,"18,894","64,791664","0,008333334"
Halle,2023-09-20,"18,894","64,791664","0,008333334"
Karlsruhe,2023-10-22,"12,669","73,333336","0,0"
München,2024-04-24,"4,3184166","74,875","0,033333335"
München,2024-04-24,"4,3184166","74,875","0,033333335"
Heidelberg,2024-03-20,"12,36275","72,125","0,0"
Heidelberg,2024-03-20,"12,36275","72,125","0,0"
Karlsruhe,2023-10-22,"12,669","73,333336","0,0"
Karlsruhe,2023-10-22,"12,669","73,333336","0,0"
München,2024-04-24,"4,3184166","74,875","0,033333335"
Kiel,2023-09-27,"17,3785","78,541664","0,0"
Kiel,2023-09-26,"15,08475","78,583336","0,0"
Gießen,2023-09-07,"19,814249","73,333336","0,0"
Halle,2023-09-20,"18,894","64,791664","0,008333334"
Hamburg,2023-09-27,"17,215418","78,833336","0,0"
Karlsruhe,2024-03-13,"10,069","90,375","0,47916672"
Karlsruhe,2024-03-13,"10,069","90,375","0,47916672"
Landau,2024-03-20,"11,7","78,041664","0,0"
München,2024-04-24,"4,3184166","74,875","0,033333335"
München,2024-04-24,"4,3184166","74,875","0,033333335"
Hamburg,2023-09-27,"17,215418","78,833336","0,0"
Fürstenfeldbruck,2023-10-14,"15,670249","67,75","0,31249997"
Gießen,2023-09-07,"19,814249","73,333336","0,0"
Leipzig,2023-09-21,"21,664164","58,666668","0,0"
Ratingen,2023-09-13,"17,876999","85,708336","0,05"
Halle,2023-09-20,"18,894","64,791664","0,008333334"
Leverkusen,2023-09-13,"18,15875","84,208336","0,125"
