datetime,temperature_2m,relative_humidity_2m,precipitation,city,date,average_temperature,average_humidity,average_precipitation
2023-09-26 22:00:00+00:00,15.0675,91.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-26 23:00:00+00:00,14.7675,90.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 00:00:00+00:00,14.367499,92.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 01:00:00+00:00,13.867499,92.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 02:00:00+00:00,14.117499,89.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 03:00:00+00:00,12.9175,94.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 04:00:00+00:00,12.2675,95.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 05:00:00+00:00,11.8175,94.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 06:00:00+00:00,11.7175,97.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 07:00:00+00:00,12.9175,94.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 08:00:00+00:00,15.0175,88.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 09:00:00+00:00,18.5175,72.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 10:00:00+00:00,20.067501,68.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 11:00:00+00:00,21.2175,64.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 12:00:00+00:00,22.167501,57.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 13:00:00+00:00,22.667501,53.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 14:00:00+00:00,23.3675,48.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 15:00:00+00:00,22.567501,52.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 16:00:00+00:00,21.6175,60.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 17:00:00+00:00,20.2175,67.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 18:00:00+00:00,18.8675,82.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 19:00:00+00:00,18.067501,82.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 20:00:00+00:00,17.317501,85.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 21:00:00+00:00,16.567501,88.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-26 22:00:00+00:00,15.0675,91.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-26 23:00:00+00:00,14.7675,90.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 00:00:00+00:00,14.367499,92.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 01:00:00+00:00,13.867499,92.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 02:00:00+00:00,14.117499,89.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 03:00:00+00:00,12.9175,94.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 04:00:00+00:00,12.2675,95.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 05:00:00+00:00,11.8175,94.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 06:00:00+00:00,11.7175,97.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 07:00:00+00:00,12.9175,94.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 08:00:00+00:00,15.0175,88.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 09:00:00+00:00,18.5175,72.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 10:00:00+00:00,20.067501,68.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 11:00:00+00:00,21.2175,64.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 12:00:00+00:00,22.167501,57.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 13:00:00+00:00,22.667501,53.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 14:00:00+00:00,23.3675,48.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 15:00:00+00:00,22.567501,52.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 16:00:00+00:00,21.6175,60.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
2023-09-27 17:00:00+00:00,20.2175,67.0,0.0,Hamburg,2023-09-27,17.169584,78.916664,0.0
